id,车型,车号,终端号,经度,纬度,海拔,时间,是否库内,车次,速度,插入时间
7170,207,6212A,10516,111.2922372831,39.00640643,1114.5338553973,2016/6/22 18:56:54,0,0,0,2016/6/22 18:59:48
7586,207,6211A,10562,110.5265613509,39.0465718468,1084.0463820491,2016/6/22 19:00:44,0,0,0,2016/6/22 19:00:48
7729,207,6212A,10516,111.2847893996,38.9772213755,1099.5044751754,2016/6/22 19:01:09,0,0,0,2016/6/22 19:01:18
9431,207,6211A,10562,110.5561995046,39.0633674999,1118.4605757939,2016/6/22 19:05:00,0,0,0,2016/6/22 19:05:19
11076,207,6211A,10562,110.5916588411,39.0807277717,1160.8663191581,2016/6/22 19:09:13,0,0,0,2016/6/22 19:09:20
11232,207,6212A,10516,111.2303946776,38.9514152993,1029.2901290366,2016/6/22 19:09:39,0,0,0,2016/6/22 19:09:50
15418,207,6212A,10516,111.1996686516,38.9373330291,995.7656495208,2016/6/22 19:13:54,0,0,0,2016/6/22 19:19:21
8278,225,26B,10832,112.184648273,39.0740215366,1517.955626687,2016/6/22 19:02:22,0,1,0,2016/6/22 19:02:18
9970,225,26B,10832,112.194912764,39.0791857568,1522.7088538669,2016/6/22 19:06:39,0,1,0,2016/6/22 19:06:49
10510,231,7017B,13856,111.8908857324,39.0669966704,1373.3721846025,2016/6/22 19:05:58,0,1,0,2016/6/22 19:07:49
10870,231,7091B,60310,110.9497088411,39.0555328592,883.6193361208,2016/6/22 19:08:46,0,1,0,2016/6/22 19:08:50
11286,231,7090A,60302,110.964931951,39.0574108894,872.1256604465,2016/6/22 19:09:48,0,1,0,2016/6/22 19:09:50
11448,231,7017B,13856,111.9141232757,39.0569282936,1351.4816841707,2016/6/22 19:10:12,0,1,0,2016/6/22 19:10:20
11744,225,26B,10832,112.195261551,39.0793459434,1524.5677930042,2016/6/22 19:10:53,0,1,0,2016/6/22 19:10:50
13372,231,7017B,13856,111.946871372,39.0505555869,1341.0225929348,2016/6/22 19:14:28,0,1,0,2016/6/22 19:14:21
13681,225,26B,10832,112.1953342587,39.0793772588,1526.789577716,2016/6/22 19:15:09,0,1,0,2016/6/22 19:15:21
15529,225,26B,10832,112.2008244756,39.0821617022,1522.2927299999,2016/6/22 19:19:25,0,1,0,2016/6/22 19:19:21
7071,225,119B,10364,111.5848853883,39.0935565308,1247.99437139,2016/6/22 18:59:24,0,2,0,2016/6/22 18:59:18
7130,225,130B,10088,111.5918277185,39.0979075549,1252.6611341881,2016/6/22 18:59:33,0,2,0,2016/6/22 18:59:48
7551,225,120A,10156,111.5911370978,39.0973547303,1251.0744538577,2016/6/22 19:00:39,0,2,0,2016/6/22 19:00:48
8818,225,119B,10364,111.6068024765,39.1093318895,1265.9404011788,2016/6/22 19:03:38,0,2,0,2016/6/22 19:03:49
8858,225,130B,10088,111.6144737881,39.1136432019,1264.3176788818,2016/6/22 19:03:47,0,2,0,2016/6/22 19:03:49
9640,225,120A,10156,111.6180039033,39.1155823894,1265.1276507964,2016/6/22 19:04:55,0,2,0,2016/6/22 19:05:49
10517,225,119B,10364,111.6500329355,39.1268690394,1275.5051005827,2016/6/22 19:07:54,0,2,0,2016/6/22 19:07:49
10570,225,130B,10088,111.6595866886,39.1278988733,1281.0534349121,2016/6/22 19:08:03,0,2,0,2016/6/22 19:07:49
11604,225,120A,10156,111.6617413303,39.1281581183,1280.0220154841,2016/6/22 19:09:09,0,2,0,2016/6/22 19:10:20
12266,225,119B,10364,111.6797170787,39.1273381702,1293.6804125458,2016/6/22 19:12:09,0,2,0,2016/6/22 19:12:20
12330,225,130B,10088,111.6880554426,39.1247781089,1291.375320104,2016/6/22 19:12:16,0,2,0,2016/6/22 19:12:20
